Vector2d.follows | (2, 2), (0,0) | True
Vector2d.precedes | (2, 2), (10,10) | True
Vector2d.follows | (3, 4), (0,0) | True
Vector2d.precedes | (3, 4), (10,10) | True
Vector2d.add | (2, 2), (1,0) | (3, 2)
Vector2d.follows | (3, 2), (0,0) | True
Vector2d.precedes | (3, 2), (10,10) | True
Vector2d.add | (3, 2), (1,0) | (4, 2)
Vector2d.follows | (4, 2), (0,0) | True
Vector2d.precedes | (4, 2), (10,10) | True
Vector2d.add | (3, 4), (1,0) | (4, 4)
Vector2d.follows | (4, 4), (0,0) | True
Vector2d.precedes | (4, 4), (10,10) | True
Vector2d.add | (4, 4), (1,0) | (5, 4)
Vector2d.follows | (5, 4), (0,0) | True
Vector2d.precedes | (5, 4), (10,10) | True
Vector2d.add | (4, 2), (-1,0) | (3, 2)
Vector2d.follows | (3, 2), (0,0) | True
Vector2d.precedes | (3, 2), (10,10) | True
Vector2d.add | (3, 2), (-1,0) | (2, 2)
Vector2d.follows | (2, 2), (0,0) | True
Vector2d.precedes | (2, 2), (10,10) | True
